,chip,code,C,R,F,label,count,probability,date,date_index,dataset,concentration
40,5,0,0,0,0,¬C¬R¬F,169.0,0.449468085106383,20230221,1,11,2.5
47,5,7,1,1,1,CRF,8.0,0.0212765957446808,20230221,1,11,2.5
46,5,6,1,1,0,CR¬F,28.0,0.0744680851063829,20230221,1,11,2.5
21,2,5,1,0,1,C¬RF,0.0,0.0,20221031,1,6,3.0
22,2,6,1,1,0,CR¬F,7.0,0.0564516129032258,20221031,1,6,3.0
23,2,7,1,1,1,CRF,0.0,0.0,20221031,1,6,3.0
2,0,2,0,1,0,¬CR¬F,186.0,0.4592592592592592,20230313,2,13,3.0
1,0,1,0,0,1,¬C¬RF,7.0,0.0172839506172839,20230313,2,13,3.0
0,0,0,0,0,0,¬C¬R¬F,0.0,0.0,20230313,2,13,3.0
17,2,1,0,0,1,¬C¬RF,16.0,0.2962962962962963,20221031,2,7,3.0
18,2,2,0,1,0,¬CR¬F,6.0,0.1111111111111111,20221031,2,7,3.0
19,2,3,0,1,1,¬CRF,25.0,0.4629629629629629,20221031,2,7,3.0
20,2,4,1,0,0,C¬R¬F,0.0,0.0,20221031,2,7,3.0
2,0,2,0,1,0,¬CR¬F,113.0,0.2684085510688836,20230111,2,10,3.0
1,0,1,0,0,1,¬C¬RF,2.0,0.004750593824228,20230111,2,10,3.0
0,0,0,0,0,0,¬C¬R¬F,283.0,0.672209026128266,20230111,2,10,3.0
21,2,5,1,0,1,C¬RF,4.0,0.074074074074074,20221031,2,7,3.0
22,2,6,1,1,0,CR¬F,0.0,0.0,20221031,2,7,3.0
23,2,7,1,1,1,CRF,3.0,0.0555555555555555,20221031,2,7,3.0
20,2,4,1,0,0,C¬R¬F,0.0,0.0,20221031,1,6,3.0
19,2,3,0,1,1,¬CRF,2.0,0.0161290322580645,20221031,1,6,3.0
3,0,3,0,1,1,¬CRF,20.0,0.0475059382422802,20230111,2,10,3.0
17,2,1,0,0,1,¬C¬RF,0.0,0.0,20221031,1,6,3.0
5,0,5,1,0,1,C¬RF,0.0,0.0,20230313,2,13,3.0
6,0,6,1,1,0,CR¬F,0.0,0.0,20230313,2,13,3.0
7,0,7,1,1,1,CRF,2.0,0.0049382716049382,20230313,2,13,3.0
23,2,7,1,1,1,CRF,0.0,0.0,20221013,1,5,3.0
22,2,6,1,1,0,CR¬F,0.0,0.0,20221013,1,5,3.0
21,2,5,1,0,1,C¬RF,0.0,0.0,20221013,1,5,3.0
20,2,4,1,0,0,C¬R¬F,0.0,0.0,20221013,1,5,3.0
19,2,3,0,1,1,¬CRF,135.0,0.6818181818181818,20221013,1,5,3.0
18,2,2,0,1,0,¬CR¬F,112.0,0.9032258064516128,20221031,1,6,3.0
18,2,2,0,1,0,¬CR¬F,37.0,0.1868686868686868,20221013,1,5,3.0
16,2,0,0,0,0,¬C¬R¬F,3.0,0.0151515151515151,20221013,1,5,3.0
16,2,0,0,0,0,¬C¬R¬F,0.0,0.0,20221031,2,7,3.0
7,0,7,1,1,1,CRF,1.0,0.002375296912114,20230111,2,10,3.0
6,0,6,1,1,0,CR¬F,1.0,0.002375296912114,20230111,2,10,3.0
5,0,5,1,0,1,C¬RF,0.0,0.0,20230111,2,10,3.0
4,0,4,1,0,0,C¬R¬F,1.0,0.002375296912114,20230111,2,10,3.0
3,0,3,0,1,1,¬CRF,210.0,0.5185185185185185,20230313,2,13,3.0
16,2,0,0,0,0,¬C¬R¬F,3.0,0.0241935483870967,20221031,1,6,3.0
17,2,1,0,0,1,¬C¬RF,23.0,0.1161616161616161,20221013,1,5,3.0
4,0,4,1,0,0,C¬R¬F,0.0,0.0,20230313,2,13,3.0
9,1,1,0,0,1,¬C¬RF,1.0,0.0031545741324921,20230111,2,10,3.5
14,1,6,1,1,0,CR¬F,0.0,0.0,20230313,2,13,3.5
15,1,7,1,1,1,CRF,3.0,0.0090634441087613,20230313,2,13,3.5
13,1,5,1,0,1,C¬RF,1.0,0.0030211480362537,20230313,2,13,3.5
12,1,4,1,0,0,C¬R¬F,1.0,0.0030211480362537,20230313,2,13,3.5
11,1,3,0,1,1,¬CRF,237.0,0.716012084592145,20230313,2,13,3.5
